name,method1_irf,method2_irf,method3_irf,method4_irf,method1_srf,method2_srf,method3_srf,method4_srf,method1_ped,method2_ped,method3_ped,method4_ped,method1_mean,method2_mean,method3_mean,method4_mean
TRAIN001_Cirrus_000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRAIN001_Cirrus_001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRAIN001_Cirrus_002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRAIN001_Cirrus_003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRAIN001_Cirrus_004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRAIN001_Cirrus_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRAIN001_Cirrus_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRAIN001_Cirrus_007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRAIN001_Cirrus_008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRAIN001_Cirrus_009,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
TRAIN001_Cirrus_010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRAIN001_Cirrus_011,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
TRAIN001_Cirrus_012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRAIN001_Cirrus_013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRAIN001_Cirrus_014,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
TRAIN001_Cirrus_015,0.6,0.46153846153846156,0.3870967741935484,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.8205128205128206,0.7956989247311829,0.7037037037037037
TRAIN001_Cirrus_016,0.0,0.5,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,0.9444444444444445,0.8888888888888888
TRAIN001_Cirrus_017,0.88,0.88,0.8571428571428571,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.96,0.9523809523809524,0.96
TRAIN001_Cirrus_018,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
TRAIN001_Cirrus_019,0.5531914893617021,0.5531914893617021,0.5416666666666666,0.5217391304347826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.851063829787234,0.851063829787234,0.8472222222222222,0.8405797101449276
TRAIN001_Cirrus_020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRAIN001_Cirrus_021,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
TRAIN001_Cirrus_022,0.46774193548387094,0.43103448275862066,0.5454545454545454,0.5046728971962616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8225806451612904,0.8103448275862069,0.8484848484848485,0.8348909657320872
TRAIN001_Cirrus_023,0.6484375,0.7045454545454546,0.7391304347826086,0.6526315789473685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8828125,0.9015151515151515,0.9130434782608695,0.8842105263157896
TRAIN001_Cirrus_024,0.6048565121412803,0.6841046277665996,0.7472118959107806,0.7100175746924429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8682855040470935,0.8947015425888666,0.9157372986369269,0.9033391915641475
TRAIN001_Cirrus_025,0.36879432624113473,0.3582089552238806,0.5507246376811594,0.5472636815920398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.789598108747045,0.7860696517412936,0.8502415458937197,0.8490878938640133
TRAIN001_Cirrus_026,0.6484375,0.6434108527131783,0.689419795221843,0.4986301369863014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8828125,0.8811369509043928,0.8964732650739476,0.8328767123287671
TRAIN001_Cirrus_027,0.26262626262626265,0.2831858407079646,0.3283582089552239,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7542087542087542,0.7610619469026548,0.7761194029850746,0.7777777777777777
TRAIN001_Cirrus_028,0.49696969696969695,0.5978260869565217,0.5806451612903226,0.6081081081081081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8323232323232324,0.8659420289855072,0.8602150537634409,0.8693693693693693
TRAIN001_Cirrus_029,0.49230769230769234,0.5080645161290323,0.46206896551724136,0.4044943820224719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8307692307692308,0.836021505376344,0.8206896551724139,0.801498127340824
TRAIN001_Cirrus_030,0.6411149825783972,0.629757785467128,0.6402535657686212,0.6619318181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8803716608594657,0.8765859284890426,0.8800845219228738,0.8873106060606061
TRAIN001_Cirrus_031,0.7454545454545455,0.7699530516431925,0.7522522522522522,0.7681818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9151515151515152,0.9233176838810642,0.9174174174174174,0.9227272727272727
TRAIN001_Cirrus_032,0.7732962447844228,0.7579529737206085,0.7757731958762887,0.8284960422163589,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9244320815948076,0.9193176579068695,0.9252577319587628,0.9428320140721196
