case,diff_1,diff_2,diff_3
ISIC_0003462,0.004952027236149847,0.01419340449834361,0.0022286796443472534
ISIC_0007796,0.03303197087201182,0.054074256098233464,0.04380592976441411
ISIC_0012204,0.03299801298138716,0.07126495365248264,0.40762794187732593
ISIC_0012222,0.00875568037794483,0.00632743153977422,0.025089407300305067
ISIC_0012256,0.04183357322171111,0.07935530069877628,0.07199773168725654
ISIC_0012538,0.007850428426915523,0.012868671141260224,0.005184908358247808
ISIC_0012660,0.014328243666923757,0.12611847203362558,0.05287746918225711
ISIC_0012720,0.04195613120589281,0.029660292298723023,0.03657237387716761
ISIC_0013104,0.004737005624328217,0.006453848465872825,0.013092920213559789
ISIC_0013489,0.006275795499176007,0.0045516012994674115,0.024440722158344586
ISIC_0013517,0.02925295423349583,0.018480353400074034,0.11761166883583762
ISIC_0013525,0.08470596876535308,0.02438978577695361,0.017915790696075407
ISIC_0013530,0.002305376510981838,0.12234521106130386,0.16142419804533553
ISIC_0013554,0.003744163193871608,0.0007918866351765974,0.11536133358167266
ISIC_0013573,0.04877020213764982,0.09117502834583824,0.10882529295065468
ISIC_0013578,0.00715233876002519,0.034876399608128605,0.09960565997742454
ISIC_0013579,0.0033494065220036617,0.01244162999890086,0.11650523450638772
ISIC_0013581,0.01285798894720458,0.029409969163707084,0.009977174368593356
ISIC_0013584,0.21790353201053847,0.08576353146253712,0.3480882812610877
ISIC_0013585,2.362952145928965e-05,0.00911894523533463,0.0443764496998752
ISIC_0013595,0.05020654804080171,0.02953575793916219,0.016524442978049225
ISIC_0013596,0.03046983376693735,0.05795238002644465,0.33659666233734403
ISIC_0013618,0.005254975491899128,0.03837954718295822,0.07267457008461864
ISIC_0013626,0.03531260552370863,0.030322903416909575,0.02443176217282672
ISIC_0013632,0.18236585959883944,0.2222738345781642,0.49459489982862737
ISIC_0013637,0.0024188587552078644,0.010649923655811078,0.00152083969385286
ISIC_0013639,0.005410093689082629,0.002296937035892621,0.009402050572799858
ISIC_0013643,0.004407956307602379,0.010520110912499159,0.0007521715143083973
ISIC_0013670,0.10523371405279058,0.07733932733932758,0.6314020941680518
ISIC_0013675,0.0005111376744819651,0.007826912046977608,0.007599177812828817
ISIC_0013682,0.02554450042494083,0.03528699535444724,0.0375148548207086
ISIC_0013688,0.0015040238665355865,0.0029865570692191312,0.013341864387559577
ISIC_0013691,0.03743324070385723,0.021632001183852223,0.005467514635461246
ISIC_0013758,0.008477427652733072,0.003806505056991538,0.0012665567533292066
ISIC_0013762,0.08113432689492783,0.05885711759810108,0.08732460457667213
