2024-02-28 17:24:38,756 INFO    MainThread:157658 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2024-02-28 17:24:38,757 INFO    MainThread:157658 [wandb_setup.py:_flush():76] Configure stats pid to 157658
2024-02-28 17:24:38,757 INFO    MainThread:157658 [wandb_setup.py:_flush():76] Loading settings from /afs/crc.nd.edu/user/y/ypeng4/.config/wandb/settings
2024-02-28 17:24:38,757 INFO    MainThread:157658 [wandb_setup.py:_flush():76] Loading settings from /afs/crc.nd.edu/user/y/ypeng4/nnUNet/nnunetv2/run/wandb/settings
2024-02-28 17:24:38,757 INFO    MainThread:157658 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-28 17:24:38,757 INFO    MainThread:157658 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-28 17:24:38,757 INFO    MainThread:157658 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'nnunetv2/run/run_training.py', 'program': '/afs/crc.nd.edu/user/y/ypeng4/nnUNet/nnunetv2/run/run_training.py'}
2024-02-28 17:24:38,757 INFO    MainThread:157658 [wandb_init.py:_log_setup():507] Logging user logs to wandb/wandb/run-20240228_172438-zr6xtvst/logs/debug.log
2024-02-28 17:24:38,757 INFO    MainThread:157658 [wandb_init.py:_log_setup():508] Logging internal logs to wandb/wandb/run-20240228_172438-zr6xtvst/logs/debug-internal.log
2024-02-28 17:24:38,757 INFO    MainThread:157658 [wandb_init.py:init():547] calling init triggers
2024-02-28 17:24:38,757 INFO    MainThread:157658 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2024-02-28 17:24:38,757 INFO    MainThread:157658 [wandb_init.py:init():596] starting backend
2024-02-28 17:24:38,757 INFO    MainThread:157658 [wandb_init.py:init():600] setting up manager
2024-02-28 17:24:38,759 INFO    MainThread:157658 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-28 17:24:38,761 INFO    MainThread:157658 [wandb_init.py:init():606] backend started and connected
2024-02-28 17:24:38,765 INFO    MainThread:157658 [wandb_init.py:init():703] updated telemetry
2024-02-28 17:24:38,793 INFO    MainThread:157658 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2024-02-28 17:24:39,167 INFO    MainThread:157658 [wandb_run.py:_on_init():2176] communicating current version
2024-02-28 17:24:39,273 INFO    MainThread:157658 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.16.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-02-28 17:24:39,273 INFO    MainThread:157658 [wandb_init.py:init():787] starting run threads in backend
2024-02-28 17:24:41,106 INFO    MainThread:157658 [wandb_run.py:_console_start():2155] atexit reg
2024-02-28 17:24:41,106 INFO    MainThread:157658 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2024-02-28 17:24:41,106 INFO    MainThread:157658 [wandb_run.py:_redirect():2075] Wrapping output streams.
2024-02-28 17:24:41,107 INFO    MainThread:157658 [wandb_run.py:_redirect():2100] Redirects installed.
2024-02-28 17:24:41,107 INFO    MainThread:157658 [wandb_init.py:init():828] run started, returning control to user process
